time,open,high,low,close,DP,EMA,EMA,EMA,Volume
1782499800,24631,24633.6,24619.6,24631.1,24638,24718.091233676143,24652.666986189095,24646.811874386418,37
1782500100,24631.6,24638.1,24618.3,24627.6,24638,24717.190823390807,24651.683967122855,24644.9821720639,29
1782500400,24628.1,24631.2,24613.6,24613.6,24638,24716.160068929206,24650.19047821608,24641.9933937721,35
1782500700,24614.1,24637.1,24612.4,24636.6,24638,24715.3684264523,24649.657518286036,24641.479737222377,43
1782501000,24635.1,24656,24632.6,24656,24638,24714.777695840836,24649.906243059133,24642.862619391675,35
1782501300,24655.5,24659,24647,24654.1,24638,24714.173937673266,24650.07070411564,24643.932846116277,29
1782501600,24652.6,24656.6,24631.6,24637.6,24638,24713.412007945175,24649.581656895418,24643.329717914727,31
1782501900,24637.1,24646.6,24634.6,24636.2,24638,24712.643729259154,24649.056886036775,24642.65069716094,28
1782502200,24636.7,24650.1,24632.1,24645.1,24638,24711.9716523511,24648.90171403533,24642.883964097993,48
1782502500,24645.6,24647.6,24628.1,24634.6,24638,24711.20178516353,24648.340862504534,24642.095015136278,23
1782502800,24635.1,24648.3,24630.6,24646.8,24638,24710.560971380808,24648.280436523964,24642.543108932823,50
1782503100,24647.7,24654.6,24640.6,24642.6,24638,24709.884742809856,24648.05767430734,24642.548527129697,68
1782503400,24641.6,24656.1,24638.1,24643.1,24638,24709.22021800578,24647.863255707052,24642.60104835544,125
1782503700,24642.6,24657.6,24625.6,24635.6,24638,24708.487678523135,24647.382343718542,24641.934281845395,183
1782504000,24597.9,24717.9,24597.9,24685.8,24638,24708.26193047813,24648.888918474677,24646.11196928869,18
1782504300,24686.7,24697.2,24662.7,24688.1,24638,24708.061314254468,24650.426607946258,24650.110829356432,0
1782504600,24690.6,24730.8,24682.2,24724.6,24638,24708.225878291738,24653.335368418953,24657.20503608439,0
1782504900,24727.9,24741.8,24717.7,24725.2,24638,24708.394775025154,24656.15358926527,24663.680746933496,0
1782505200,24724.4,24739.4,24716.3,24736,24638,24708.669453880626,24659.284821058787,24670.56829484459,0
1782505500,24736.8,24744.9,24724.1,24725,24638,24708.83194687684,24661.86188689962,24675.752266764153,0
1782505800,24725.8,24727.9,24671.1,24695.5,24638,24708.69929068901,24663.181028589832,24677.633003262807,0
1782506100,24694.7,24705.6,24657.8,24676.2,24638,24708.37591466225,24663.69157648827,24677.496526761588,0
1782506400,24675.3,24675.3,24649.9,24653.4,24638,24707.82889063576,24663.287985253435,24675.20161945096,0
1782506700,24652.6,24654.4,24640.1,24646.9,24650,24707.222633017493,24662.645319165065,24672.506227122296,0
1782507000,24647.8,24658.3,24644.1,24651.6,24650,24706.669173982493,24662.212169393886,24670.515157872553,0
1782507300,24651.5,24659.1,24626.7,24635.8,24650,24705.96400807222,24661.176398045107,24667.20895236088,0
1782684000,24701.5,24759.3,24701.5,24745.4,24650,24706.35640600185,24664.47928439628,24674.655718802704,0
1782684300,24745.8,24770.4,24727,24728.1,24650,24706.572760170988,24666.974214419955,24679.745650345303,0
1782684600,24728.6,24731.8,24704.8,24725.1,24650,24706.757110816052,24669.25365699172,24684.06511221718,0
1782684900,24725.5,24725.7,24708.9,24710.2,24650,24706.791368419872,24670.85939593322,24686.554149148877,0
1782685200,24709.7,24733.2,24701.3,24721.6,24650,24706.938717987832,24672.849223543682,24689.891849229934,0
1782685500,24721.2,24732.9,24716.5,24725.3,24650,24707.121417311337,24674.90611673805,24693.264054065177,0
1782685800,24724.9,24737.1,24724.7,24726.9,24650,24707.318219129134,24676.945092552243,24696.467477487542,0
1782686100,24726,24735.2,24725.2,24729.1,24650,24707.534953267153,24678.99038304039,24699.575336774444,0
1782686400,24727.4,24737.6,24724.8,24735.9,24650,24707.81719253813,24681.22213272508,24703.03482851021,0
1782686700,24736.3,24738.5,24730,24736.3,24738,24708.10060355765,24683.382049088803,24706.202940080668,0
1782687000,24735.9,24736.3,24724.1,24726.6,24738,24708.28467715409,24685.076870693163,24708.145517215842,0
1782687300,24727,24730.8,24724,24724.9,24738,24708.45000374957,24686.63856203853,24709.741182242906,0
1782687600,24724.1,24743,24719.9,24739.6,24738,24708.759953961016,24688.715481174273,24712.58487917215,0
1782687900,24740.8,24765.8,24735.3,24762.8,24738,24709.2976658619,24691.62075642234,24717.367271631945,0
1782688200,24763.2,24767,24756.5,24759.5,24738,24709.79719157472,24694.282687543033,24721.379912428903,0
1782688500,24759.1,24766.7,24749.5,24762.3,24738,24710.31960757895,24696.950033129582,24725.277063626152,0
1782688800,24762.7,24767.3,24755.7,24756.9,24738,24710.783094070703,24699.30101222254,24728.288771852232,0
1782689100,24757.3,24760.7,24755.2,24758.7,24738,24711.259879204328,24701.630384292243,24731.185079294875,0
1782689400,24758.3,24770,24757.5,24763.2,24738,24711.776696326673,24704.04487902588,24734.23411936203,0
1782689700,24763.6,24771.7,24761.6,24770.9,24738,24712.364987905512,24706.666648475846,24737.72610799422,0
1782690000,24771.3,24771.3,24763.7,24767,24738,24712.908619866652,24709.032662261106,24740.514097709056,0
1782690300,24766.2,24778.3,24759.8,24765.6,24758,24713.432912206288,24711.25098923126,24742.903231260574,0
1782690600,24765.2,24766,24750.5,24751.2,24758,24713.808704124633,24712.81761710454,24743.69339971195,0
1782690900,24750.4,24756.7,24743.2,24744.9,24758,24714.118070252745,24714.075749767107,24743.808314025096,0
1782691200,24743.6,24744.9,24697.4,24711,24758,24714.08704467809,24713.95513212918,24740.683712689373,0
1782691500,24710.6,24717.3,24697.2,24707.8,24758,24714.0244870196,24713.713754398625,24737.55193052848,0
1782691800,24708.6,24729.6,24704.8,24708.6,24758,24713.97051202438,24713.513215010444,24734.794603811482,0
1782692100,24708.2,24741.8,24704.5,24716.9,24758,24713.99966115847,24713.646030108073,24733.090355829438,40
1782692400,24716.4,24720.8,24687.6,24698.4,24758,24713.844440649427,24713.048146574423,24729.78651241711,16
1782692700,24698.9,24708.3,24693.3,24695.8,24758,24713.6648939763,24712.371748669542,24726.54970171072,6
1782693000,24699.8,24702.3,24682.8,24690.8,24758,24713.437382593453,24711.525797741324,24723.14496821446,29
1782693300,24690.3,24706.3,24682.2,24698.8,24758,24713.291736995507,24711.026746849508,24720.826399813082,2
1782693600,24697.3,24741.2,24697.3,24737.7,24758,24713.53460528411,24712.07275677698,24722.433409354693,29
1782693900,24735.7,24737.3,24686.3,24707.3,24702,24713.472569410635,24711.885589844547,24720.992132273295,13
1782694200,24706.8,24725.3,24706.8,24720.3,24702,24713.540504043365,24712.21556671339,24720.926214913932,15
1782694500,24719.8,24741.3,24718.8,24734.8,24702,24713.752041316566,24713.101230763845,24722.247527779273,4
1782694800,24735.3,24744.3,24711.3,24721.8,24702,24713.832120507446,24713.442358969183,24722.204906086008,4
1782695100,24722.8,24752.6,24721.3,24737.8,24702,24714.070606870555,24714.397560578236,24723.690153125437,15
1782695400,24738.3,24748.3,24728.8,24736.3,24702,24714.291794861892,24715.256479771248,24724.891090923014,5
1782695700,24735.8,24738.2,24704.8,24719.8,24702,24714.34660287322,24715.43465703512,24724.406225120823,9
1782696000,24718.8,24738.8,24710.8,24725.8,24702,24714.460567023732,24715.841141072957,24724.538965585507,5
1782696300,24726.3,24734.2,24708.6,24712.4,24702,24714.440063869268,24715.706194364215,24723.38287362498,2
1782696600,24712.9,24721.8,24696.8,24707.3,24702,24714.369018457634,24715.376539683264,24721.851171374983,7
1782696900,24706.8,24732.3,24703.8,24728.3,24702,24714.5076351894,24715.883342048626,24722.465345529745,2
1782697200,24727.8,24740.3,24725.1,24731.3,24702,24714.67472339647,24716.48791687025,24723.306741193577,0
1782697500,24730.8,24731.8,24712.3,24718.8,24722,24714.715770924864,24716.578586796906,24722.87752774657,0
1782697800,24719.8,24724.3,24712.7,24721.6,24722,24714.784270716656,24716.775504961734,24722.755858437373,2
1782698100,24721.1,24729.8,24718.8,24722.3,24722,24714.85905409261,24716.99215182598,24722.7124433481,0
1782698400,24722.8,24731.9,24711.9,24718.6,24722,24714.89627743497,24717.05520469555,24722.32078207685,5
1782698700,24719.1,24726.1,24705.2,24709.2,24722,24714.839598057508,24716.747157452588,24721.071183783817,2
1782699000,24709.7,24715.7,24689.8,24693.3,24722,24714.625273698726,24715.827661081898,24718.42630913774,12
1782699300,24692.8,24721.8,24684.3,24719.3,24722,24714.671788388292,24715.96383123555,24718.509517791288,10
1782699600,24719.8,24741.3,24718.3,24737.3,24722,24714.896944722735,24716.800543736117,24720.29908752545,4
1782699900,24737.8,24757.4,24732.3,24750.8,24722,24715.254189053852,24718.133855746466,24723.20393633255,2
1782700200,24750.3,24756.3,24745.8,24747.8,24722,24715.57802796874,24719.297233952486,24725.546418586593,2
1782700500,24747.3,24753.3,24739.8,24746.8,24722,24715.88869435711,24720.375773797485,24727.570569197393,8
1782700800,24745.8,24752.3,24742.8,24750.8,24722,24716.23607053266,24721.568880707386,24729.782895940498,0
1782701100,24750.3,24759.3,24750.3,24759.3,24758,24716.66456734328,24723.04853244435,24732.59404870807,0
1782701400,24757.8,24758.3,24745.3,24749.3,24758,24716.98929801648,24724.07800176026,24734.185091688254,0
1782701700,24749.8,24758.8,24749.3,24753.8,24758,24717.355573658107,24725.243570318682,24736.053178194135,0
1782702000,24757.3,24773.8,24755.3,24769.8,24758,24717.877408746088,24726.990881286576,24739.267161223266,5
1782702300,24770.3,24773.8,24762.8,24769.8,24758,24718.39405144513,24728.66967025573,24742.175050630573,3
1782702600,24769.3,24770.3,24756.8,24760.8,24758,24718.816001181996,24729.929683186878,24743.948855332423,1
